"1-206","1-0114","CAFES TORREFIES",NULL,"2017-07-28 09:00:02"
"1-207","1-0114","CAFES CHICOREES SOLUBLES",NULL,"2017-07-28 09:00:02"
"1-208","1-0114","POUDRES CHOCOLATEES",NULL,"2017-07-28 09:00:02"
"1-209","1-0114","CEREALES",NULL,"2017-07-28 09:00:02"
"1-210","1-0114","THES ET INFUSIONS",NULL,"2017-07-28 09:00:02"
"1-211","1-0114","CHOCOLAT EN TABLETTES",NULL,"2017-07-28 09:00:02"
"1-212","1-0114","CONFISERIE DE SUCRE",NULL,"2017-07-28 09:00:02"
"1-213","1-0114","CONFISERIE DE CHOCOLAT",NULL,"2017-07-28 09:00:02"
"1-214","1-0114","ENTREMETS ET DESSERTS",NULL,"2017-07-28 09:00:02"
"1-215","1-0114","PRODUITS POUR PATISSERIE",NULL,"2017-07-28 09:00:02"
"1-216","1-0114","LAITS CCENTRES ET POUDRES",NULL,"2017-07-28 09:00:02"
"1-217","1-0114","SUCRES",NULL,"2017-07-28 09:00:02"
"1-218","1-0114","CHOCOLATS DE FETE",NULL,"2017-07-28 09:00:02"
"1-219","1-0114","PRODUITS DIETETIQUES",NULL,"2017-07-28 09:00:02"
"1-220","1-0114","EPICERIE FINE",NULL,"2017-07-28 09:00:02"
"1-221","1-0114","FARINES",NULL,"2017-07-28 09:00:02"
"1-222","1-0114","PUREE FECULE SEMOULE",NULL,"2017-07-28 09:00:02"
"1-223","1-0114","PATES ALIMENTAIRES",NULL,"2017-07-28 09:00:02"
"1-224","1-0114","RIZ",NULL,"2017-07-28 09:00:02"
"1-225","1-0114","LEGUMES SECS",NULL,"2017-07-28 09:00:02"
"1-226","1-0114","POTAGES ET BOUILLONS",NULL,"2017-07-28 09:00:02"
"1-227","1-0114","CONDIMENTS ET SAUCES",NULL,"2017-07-28 09:00:02"
"1-228","1-0114","SELS POIVRES EPICES",NULL,"2017-07-28 09:00:02"
"1-229","1-0114","CHIPS NATURE",NULL,"2017-07-28 09:00:02"
"1-230","1-0114","HUILES ALIMENTAIRES",NULL,"2017-07-28 09:00:02"
"1-231","1-0114","VINAIGRES ET VINAIGRETTES",NULL,"2017-07-28 09:00:02"
"1-232","1-0114","CONFIT.PATES TARTIN. MIEL",NULL,"2017-07-28 09:00:02"
"1-233","1-0114","FRUITS AU SIROP",NULL,"2017-07-28 09:00:02"
"1-234","1-0114","CONSERVES DE LEGUMES",NULL,"2017-07-28 09:00:02"
"1-235","1-0114","CONSERVES DE POISSON",NULL,"2017-07-28 09:00:02"
"1-236","1-0114","CONSERVES DE VIANDES",NULL,"2017-07-28 09:00:02"
"1-237","1-0114","PLATS CUISINES",NULL,"2017-07-28 09:00:02"
"1-238","1-0114","ALIMENTS POUR ENFANTS",NULL,"2017-07-28 09:00:02"
"1-239","1-0114","ALIMENTS POUR ANIMAUX",NULL,"2017-07-28 09:00:02"
"1-261","1-0111","BOISSONS SANS ALCOOL",NULL,"2017-07-28 09:00:02"
"1-262","1-0111","BIERES CIDRES",NULL,"2017-07-28 09:00:02"
"1-263","1-0111","EAUX MINERALES",NULL,"2017-07-28 09:00:02"
"1-264","1-0111","VINS CONSOMMATION COURANT",NULL,"2017-07-28 09:00:02"
"1-265","1-0111","VINS ETRANGERS",NULL,"2017-07-28 09:00:02"
"1-266","1-0111","VINS FINS",NULL,"2017-07-28 09:00:02"
"1-267","1-0111","CHAMPAGNES MOUSSEUX",NULL,"2017-07-28 09:00:02"
"1-268","1-0111","APERITIFS",NULL,"2017-07-28 09:00:02"
"1-269","1-0111","ALCOOLS ET SPIRITUEUX",NULL,"2017-07-28 09:00:02"
"1-270","1-0111","ALCOOLS DE GRAINS",NULL,"2017-07-28 09:00:02"
"1-271","1-0111","FLASQUES",NULL,"2017-07-28 09:00:02"
"1-272","1-0111","ALCOOLS ET DERIVES(us.pro",NULL,"2017-07-28 09:00:02"
"1-281","1-0112","LAVAGE",NULL,"2017-07-28 09:00:02"
"1-282","1-0112","PRODUITS D'ENTRETIEN",NULL,"2017-07-28 09:00:02"
"1-283","1-0112","DROGUERIE",NULL,"2017-07-28 09:00:02"
"1-284","1-0112","HYGIENE PAPIER",NULL,"2017-07-28 09:00:02"
"1-285","1-0112","HYGIENE PARFUMERIE",NULL,"2017-07-28 09:00:02"
"1-286","1-0112","BEAUTE",NULL,"2017-07-28 09:00:02"
"1-287","1-0112","CAPILLAIRES",NULL,"2017-07-28 09:00:02"
"1-288","1-0112","PARAPHARMACIE",NULL,"2017-07-28 09:00:02"
"1-289","1-0558","EMBALLAGE PIZZA/ROTISSERI",NULL,"2017-07-28 09:00:02"
"1-290","1-0331","SACS CLIENTELE (payants)",NULL,"2017-07-28 09:00:02"
"1-291","1-0552","EMBALLAGE BOUCHERIE",NULL,"2017-07-28 09:00:02"
"1-292","1-0556","EMBALLAGES FRUITS LEGUMES",NULL,"2017-07-28 09:00:02"
"1-293","1-0553","EMBALLAGE POISSONNERIE",NULL,"2017-07-28 09:00:02"
"1-294","1-0554","EMBALLAGE BOULANGERIE",NULL,"2017-07-28 09:00:02"
"1-295","1-0555","EMBALLAGE PATISSERIE",NULL,"2017-07-28 09:00:02"
"1-296","1-0550","EMBALLAGE TRAITEUR",NULL,"2017-07-28 09:00:02"
"1-297","1-0551","EMBALLAGE CREMERIE",NULL,"2017-07-28 09:00:02"
"1-298","1-0226","SACS ISOTHERMES",NULL,"2017-07-28 09:00:02"
"1-299","1-0558","MATIERES PREMIERES",NULL,"2017-07-28 09:00:02"
"1-300","1-0330","OUTILLAGE QUINCAILLERIE",NULL,"2017-07-28 09:00:02"
"1-301","1-0330","ELECTRICITE",NULL,"2017-07-28 09:00:02"
"1-302","1-0330","DROGUERIE",NULL,"2017-07-28 09:00:02"
"1-303","1-0330","OUTILLAGE  ELECTRIQUE",NULL,"2017-07-28 09:00:02"
"1-304","1-0330","PILES",NULL,"2017-07-28 09:00:02"
"1-305","1-0336","HORLOGERIE",NULL,"2017-07-28 09:00:02"
"1-306","1-0331","CADEAUX",NULL,"2017-07-28 09:00:02"
"1-307","1-0331","MAT.ACCES.DE BAR PROF",NULL,"2017-07-28 09:00:02"
"1-308","1-0331","ENTRETIEN",NULL,"2017-07-28 09:00:02"
"1-309","1-0331","CAFE PETIT DEJEUNER",NULL,"2017-07-28 09:00:02"
"1-310","1-0331","VERRERIE",NULL,"2017-07-28 09:00:02"
"1-311","1-0331","VAISSELLE",NULL,"2017-07-28 09:00:02"
"1-312","1-0331","COUVERT PLATERIE INOX",NULL,"2017-07-28 09:00:02"
"1-313","1-0331","PREPARATION TABLE CUISSON",NULL,"2017-07-28 09:00:02"
"1-314","1-0331","RANGEMENT POUBELLE",NULL,"2017-07-28 09:00:02"
"1-315","1-0331","ARTICLES MENAGERS",NULL,"2017-07-28 09:00:02"
"1-316","1-0331","VAISSELLES A JETER",NULL,"2017-07-28 09:00:02"
"1-317","1-0331","SOIN DU LINGE",NULL,"2017-07-28 09:00:02"
"1-318","1-0331","CUISSON GAZ PLAQUES ELEC",NULL,"2017-07-28 09:00:02"
"1-319","1-0331","CUISSON DANS LE FOUR",NULL,"2017-07-28 09:00:02"
"1-320","1-0333","LITTERATURE POCHE",NULL,"2017-07-28 09:00:02"
"1-321","1-0332","CORRESPONDANCE",NULL,"2017-07-28 09:00:02"
"1-322","1-0332","ECRITURE",NULL,"2017-07-28 09:00:02"
"1-323","1-0332","PAPETERIE/CAHIERS",NULL,"2017-07-28 09:00:02"
"1-324","1-0332","COPIES DOUBLES",NULL,"2017-07-28 09:00:02"
"1-325","1-0332","FEUILLETS MOBILES",NULL,"2017-07-28 09:00:02"
"1-326","1-0332","PAP.BUREAU",NULL,"2017-07-28 09:00:02"
"1-327","1-0332","DESSIN LOISIRS CREATIFS",NULL,"2017-07-28 09:00:02"
"1-328","1-0332","MATERIEL SCOLAIRE",NULL,"2017-07-28 09:00:02"
"1-329","1-0332","ACCES.BUREAU CLASSEMENT",NULL,"2017-07-28 09:00:02"
"1-330","1-0333","PRESSE",NULL,"2017-07-28 09:00:02"
"1-331","1-0333","LITTERATURE HORS POCHE",NULL,"2017-07-28 09:00:02"
"1-332","1-0333","PRATIQUES LOISIRS",NULL,"2017-07-28 09:00:02"
"1-333","1-0333","JEUNESSE",NULL,"2017-07-28 09:00:02"
"1-334","1-0333","POCHE JEUNESSE",NULL,"2017-07-28 09:00:02"
"1-335","1-0333","DICTIONNAIRE PARASCOLAIRE",NULL,"2017-07-28 09:00:02"
"1-336","1-0332","CARTERIE",NULL,"2017-07-28 09:00:02"
"1-337","1-0339","BAGAGE",NULL,"2017-07-28 09:00:02"
