"26302","263","EAUX GAZEUSES                 ","002",""
"27003","270","TEQUILA ET AUTRES             ","003",""
"08004","080","CREPES SURGELEES              ","004",""
"26105","261","BOISSON AUX FRUITS PETILLANTE ","005",""
"05710","057","AUTRES                        ","010",""
"21203","212","SACHETS CHOCOLAT              ","003",""
"22106","221","AUTRES                        ","006",""
"39701","397","BOUGIES                       ","001",""
"02003","020","CREMES                        ","003",""
"20501","205","BISCUITS APERITIFS            ","001",""
"03401","034","CHARCUTERIE HALLAL            ","001",""
"28207","282","WC ET FOSSES                  ","007",""
"18509","185","SOUPES                        ","009",""
"20402","204","PATISS.A DLC COURTE -DE 30J.  ","002",""
"26602","266","LOIRE                         ","002",""
"08409","084","CHAMPIGNON SURGELE            ","009",""
"27004","270","WHISKY                        ","004",""
"26109","261","SIROPS ET CONCENTRES          ","009",""
"26107","261","PUR JUS                       ","007",""
"28210","282","FOURS                         ","010",""
"23302","233","AUTRES FRUITS AU SIROP        ","002",""
"26201","262","BIERES                        ","001",""
"21001","210","THES                          ","001",""
"05701","057","BROCHETTE                     ","001",""
"22201","222","PUREE DE POMME DE TERRE       ","001",""
"32202","322","ECRITURE ENCRE                ","002",""
"08407","084","LEGUME CUISINE SURGELE        ","007",""
"11021","110","COMTE                         ","021",""
"26401","264","VINS DE PAYS                  ","001",""
"26102","261","LIMONADE ET LIMES             ","002",""
"21002","210","INFUSIONS                     ","002",""
"23004","230","AUTRES HUILES VEGETALES       ","004",""
"20304","203","CASSE-CROUTE ET GOUTER        ","004",""
"06701","067","SAUCISSERIE                   ","001",""
"08202","082","VOLAILLES DIVERSES ENTIERES   ","002",""
"22404","224","BRUN ET COMPLET               ","004",""
"27002","270","VODKA                         ","002",""
"23005","230","OLIVE                         ","005",""
"13901","139","SAUCISSERIE                   ","001",""
"22204","222","AUTRES                        ","004",""
"03203","032","SAUCISSE SECHE PUR PORC       ","003",""
"28405","284","HYGIENE FEMININE              ","005",""
"23602","236","FOIE GRAS                     ","002",""
"28606","286","PRODUITS SOLAIRES             ","006",""
"28505","285","BAINS ET DOUCHES              ","005",""
"08401","084","HARICOTS VERTS                ","001",""
"03312","033","PLAT PREPARE                  ","012",""
"20803","208","BOISSONS MALTEES              ","003",""
"26905","269","EAUX DE VIE                   ","005",""
"23206","232","PATE A TARTINER               ","006",""
"28403","284","MOUCHOIRS                     ","003",""
"26907","269","RHUM                          ","007",""
"00204","002","MOUSSE                        ","004",""
"26111","261","AUTRES                        ","011",""
"35705","357","CHIENS                        ","005",""
"35704","357","CHATS                         ","004",""
"10506","105","PATES / RILLETTES             ","006",""
"08106","081","COQUILLE CUISINEE             ","006",""
"09101","091","BATONNET CREME GLACEE         ","001",""
"26801","268","ANISES                        ","001",""
"08104","081","CRUSTACE COQUILLAG. MOLLU. SRG","004",""
"22202","222","FECULE                        ","002",""
"28508","285","HYGIENE BUCCO-DENTAIRE        ","008",""
"20904","209","BARRES CEREALIERES            ","004",""
"08304","083","AUTRES GARNITURES SURGELEES   ","004",""
"22805","228","HERBES                        ","005",""
"06801","068","BOEUF                         ","001",""
"05702","057","SAUCISSE                      ","002",""
"22602","226","POTAGE LIQUIDE                ","002",""
"28603","286","MAQUILLAGE                    ","003",""
"26301","263","EAUX PLATES                   ","001",""
"20306","203","BISC.PATISSIERS               ","006",""
"31305","313","BOISSELLERIE & ART.ASSIMILES  ","005",""
"28201","282","LIQUIDES DE SYNTHESE          ","001",""
"26108","261","JUS ABC ET NECTARS            ","008",""
"21917","219","PRODUITS MINCEUR              ","017",""
"02201","022","PATE MOLLE CROUTE FLEURIE     ","001",""
"00205","002","ENTREMET                      ","005",""
"17001","170","MATIERES PREMIERES PATISSERIE ","001",""
"26902","269","COGNAC                        ","002",""
"29605","296","BOITES A PIZZA                ","005",""
"21916","219","SOJAS ET DERIVES              ","016",""
"21301","213","BOUCHEE ROCHER GRIOTTE        ","001",""
"20801","208","INSTANTANE                    ","001",""
"22803","228","POIVRE                        ","003",""
"29603","296","BARQUETTES UTILISATION CHAUDE ","003",""
"26607","266","PROVENCE                      ","007",""
"26106","261","BOISSON AUX FRUITS PLATE      ","006",""
"23501","235","SARDINES                      ","001",""
"26110","261","BOISSONS DE L'EFFORT          ","010",""
