"TENDR.PLUS","TENDR.PLUS"
"SOVIBA","SOVIBA"
"VOLBEL","VOLBEL"
"S.VOLAILLE","S.VOLAILLE"
"ARTCULINE","ARTCULINE"
"FINDUS","FINDUS"
"COMPTOIR M","COMPTOIR M"
"BUITONI","BUITONI"
"RISTORANTE","RISTORANTE"
"PIZ.MANOSQ","PIZ.MANOSQ"
"ANCEL RIST","ANCEL RIST"
"DR SCHAR","DR SCHAR"
"DR OETKER","DR OETKER"
"GR.JURY","GR.JURY"
"DEFROIDMON","DEFROIDMON"
"CIE.ARTIQU","CIE.ARTIQU"
"ALMONDY","ALMONDY"
"OUMMI","OUMMI"
"ORIENT.VDE","ORIENT.VDE"
"KAUFFERS","KAUFFERS"
"EN CUISINE","EN CUISINE"
"MAC CAIN","MAC CAIN"
"FR.KEBAB","FR.KEBAB"
"CLASSIC F.","CLASSIC F."
"LE TREFLE","LE TREFLE"
"MADERN","MADERN"
"VITACUIRE","VITACUIRE"
"T.PARIS","T.PARIS"
"BERNADET","BERNADET"
"TR.CORNOUI","TR.CORNOUI"
"BONCOLAC","BONCOLAC"
"ESCAL","ESCAL"
"MAGGI","MAGGI"
"GOLFONUEVO","GOLFONUEVO"
"KAREA","KAREA"
"AMIGOS","AMIGOS"
"COSTA","COSTA"
"S.DISCOUNT","S.DISCOUNT"
"GIMB.OCEAN","GIMB.OCEAN"
"YOOJI","YOOJI"
"IGLO","IGLO"
"CITE MARIN","CITE MARIN"
"GEL PECHE","GEL PECHE"
"SILVERSEA","SILVERSEA"
"FDG","FDG"
"FDG RESTAU","FDG RESTAU"
"DELFIN","DELFIN"
"PRE D AUGE","PRE D AUGE"
"FR.GASTRON","FR.GASTRON"
"FDG EXCELL","FDG EXCELL"
"CROK'APERO","CROK'APERO"
"SILL ARTIQ","SILL ARTIQ"
"MAREVAL","MAREVAL"
"F.BUTCHER","F.BUTCHER"
"ORIENT HAL","ORIENT HAL"
"MADHIA","MADHIA"
"J. FLOCH","J. FLOCH"
"MOY PARK","MOY PARK"
"PURE SOUTH","PURE SOUTH"
"ALSALOR","ALSALOR"
"DEFIAL","DEFIAL"
"MONTFORT","MONTFORT"
"MAHDIA","MAHDIA"
"POM BISTRO","POM BISTRO"
"D'AUCY","D'AUCY"
"MAGDA","MAGDA"
"AMY.KITCH.","AMY.KITCH."
"GYMA","GYMA"
"CHAMPICEP","CHAMPICEP"
"MARKAGEL","MARKAGEL"
"BARILLA","BARILLA"
"MARIE.","MARIE."
"CRF DISC.","CRF DISC."
"M.BONCOLAC","M.BONCOLAC"
"FAUCHON","FAUCHON"
"PROMOCASH","PROMOCASH"
"DELIFRANCE","DELIFRANCE"
"COLORADO C","COLORADO C"
"ERHARD","ERHARD"
"FOURNIL FR","FOURNIL FR"
"DUTEIL","DUTEIL"
"KARA","KARA"
"BROSSARD","BROSSARD"
"BRIDOR","BRIDOR"
"BCS","BCS"
"RGE PARFUM","RGE PARFUM"
"DAREGAL","DAREGAL"
"LIGUEIL","LIGUEIL"
"MAESTRELLA","MAESTRELLA"
"CARTE D'OR","CARTE D'OR"
"CIGALINES","CIGALINES"
"TERRE BLEU","TERRE BLEU"
"L.ANGELYS","L.ANGELYS"
"HISTOIRE","HISTOIRE"
"F.NORMAND","F.NORMAND"
"HAAGEN-DAZ","HAAGEN-DAZ"
"BEN&JERRY'","BEN&JERRY'"
"MILKA","MILKA"
"OREO","OREO"
"DAIM","DAIM"
"TOBLERONE","TOBLERONE"
"MAGNUM","MAGNUM"
"PULCO","PULCO"
"OASIS","OASIS"
"YETI","YETI"
"DISNEY","DISNEY"
"HEARTBRAND","HEARTBRAND"
"GLACON DOC","GLACON DOC"
"CORNETTO","CORNETTO"
"SNICKERS","SNICKERS"
"MARS","MARS"
"TWIX","TWIX"
"BOUNTY","BOUNTY"
"SMILEY","SMILEY"
"PILPA","PILPA"
"PILPA DESS","PILPA DESS"
"VIENNETTA","VIENNETTA"
"TALLEC","TALLEC"
"PREDAULT","PREDAULT"
"JBON BOCAG","JBON BOCAG"
"CABY","CABY"
"MONTORSI","MONTORSI"
"LE JONQUAY","LE JONQUAY"
"WAGNER","WAGNER"
"A.LAURENT","A.LAURENT"
"PREST.SART","PREST.SART"
"SANS MARQUE","SANS MARQUE"
"MERE LYONN","MERE LYONN"
"BRIENT","BRIENT"
"COIN GOURM","COIN GOURM"
"DOM.PICARD","DOM.PICARD"
"REN.SAVEUR","REN.SAVEUR"
"GD VALLEE","GD VALLEE"
"LA BRESSE","LA BRESSE"
"SARTHOISES","SARTHOISES"
"M.COCHON","M.COCHON"
"SCHMIDT","SCHMIDT"
"ENTREE MER","ENTREE MER"
"GILTRAITEU","GILTRAITEU"
"G.TRAITEUR","G.TRAITEUR"
"BOLARD","BOLARD"
"CHAMPION","CHAMPION"
"RANDY","RANDY"
"SAPRESTI","SAPRESTI"
"DEL.ORIENT","DEL.ORIENT"
"PRODISAL","PRODISAL"
"AGIS","AGIS"
"STALAVEN","STALAVEN"
"NATIONALE","NATIONALE"
"CH.KELLER","CH.KELLER"
"RECETTECRF","RECETTECRF"
"D.D ORIENT","D.D ORIENT"
"TEGUSTA","TEGUSTA"
"APERO PASO","APERO PASO"
"REGALETTE","REGALETTE"
"MIDI TIELL","MIDI TIELL"
"C'PIERRE","C'PIERRE"
"GALILEO","GALILEO"
"MDD","MDD"
"PEKA FRESH","PEKA FRESH"
"PAUL PREDA","PAUL PREDA"
"NOEL ALIM","NOEL ALIM"
"SS MARQUE","SS MARQUE"
"DEBROAS","DEBROAS"
"HAUT PAYS","HAUT PAYS"
"PERE BENOI","PERE BENOI"
"RECETTE","RECETTE"
"ISALI","ISALI"
"RERO","RERO"
"GYRDIS","GYRDIS"
"ROITELET","ROITELET"
"T.NORMANDI","T.NORMANDI"
"JORT","JORT"
"MARIE HARE","MARIE HARE"
"CHAMOIS D'","CHAMOIS D'"
"FROM.AFFIN","FROM.AFFIN"
"LINCET","LINCET"
"MONTS JOUX","MONTS JOUX"
"ETOIL.VERC","ETOIL.VERC"
"THEBAULT","THEBAULT"
"ROY.HOLLAN","ROY.HOLLAN"
"FR.CHABERT","FR.CHABERT"
"MIRAMONT","MIRAMONT"
"LIVRADOIS","LIVRADOIS"
"DISCHAMP","DISCHAMP"
"T.AUVERGNE","T.AUVERGNE"
"ONETIK","ONETIK"
"JEANPERRIN","JEANPERRIN"
"EDELMONT","EDELMONT"
"BREZAIN","BREZAIN"
"PTE PERCEE","PTE PERCEE"
"VERDANNET","VERDANNET"
"MONTS&TERR","MONTS&TERR"
"SCHMIDHAUS","SCHMIDHAUS"
"RIVOIR&JAC","RIVOIR&JAC"
"GD COMTOIS","GD COMTOIS"
"MN HOBBY","MN HOBBY"
"MIFROMA","MIFROMA"
"PAPILLON.","PAPILLON."
"LA MEMEE","LA MEMEE"
"CANTOREL","CANTOREL"
"ROCHEBARON","ROCHEBARON"
"CASTELLI","CASTELLI"
"JEAN FAUP","JEAN FAUP"
"FROM.DROME","FROM.DROME"
"ANJOUIN","ANJOUIN"
"FERME CRAY","FERME CRAY"
"SEVRE BELL","SEVRE BELL"
"LE VERNEUI","LE VERNEUI"
"FROM.NEIGE","FROM.NEIGE"
"FROM.BANON","FROM.BANON"
"POITOU CHE","POITOU CHE"
"FR.VERDIER","FR.VERDIER"
"FROM'COEUR","FROM'COEUR"
"CORSICA","CORSICA"
"RAMBOL","RAMBOL"
"CHATEAU BL","CHATEAU BL"
"AM.DESSERT","AM.DESSERT"
"C.DESSERTS","C.DESSERTS"
"LAIT VICHY","LAIT VICHY"
"O'TAPAS","O'TAPAS"
"REC.CHAUDR","REC.CHAUDR"
"PAPILLON","PAPILLON"
"O TAPAS","O TAPAS"
"V.D.MESNIL","V.D.MESNIL"
"BRESSE","BRESSE"
"JANZE","JANZE"
"CHALLANS","CHALLANS"
"LEGEMMEUR","LEGEMMEUR"
"SPNP","SPNP"
"MICHEL ADR","MICHEL ADR"
"CULTIMER","CULTIMER"
"GRAIN OR","GRAIN OR"
"SAVOYARDE","SAVOYARDE"
"MENISSEZ","MENISSEZ"
"PANAVI","PANAVI"
"G.SAVOYARD","G.SAVOYARD"
"GENIUS","GENIUS"
"DELIC.TOUR","DELIC.TOUR"
"DELICES","DELICES"
"CSM FRANCE","CSM FRANCE"
"BERLIDON","BERLIDON"
"POPPIES","POPPIES"
"SIMPSONS","SIMPSONS"
"FLOREPI","FLOREPI"
"PAT.KREMER","PAT.KREMER"
"ERHARD PAT","ERHARD PAT"
"DELMOTTE","DELMOTTE"
"LIGHTBODY","LIGHTBODY"
"HEBERT","HEBERT"
"ASTRUC","ASTRUC"
"CACAOBARRY","CACAOBARRY"
"PATISFRANC","PATISFRANC"
"ESCO","ESCO"
"M.PRUNILLE","M.PRUNILLE"
"PETIT PRIX","PETIT PRIX"
"PRUNO DELI","PRUNO DELI"
"SEEBERGER","SEEBERGER"
"PETIT PX","PETIT PX"
"DES.SAVEUR","DES.SAVEUR"
"DACO BELLO","DACO BELLO"
"DOMINO","DOMINO"
"SUN","SUN"
"FAVORITE","FAVORITE"
"SOUA SOUA","SOUA SOUA"
"SUN.","SUN."
"PTI PRIX","PTI PRIX"
"M.FRT SEC","M.FRT SEC"
"BRUT COQUE","BRUT COQUE"
"REAL FRUIT","REAL FRUIT"
"O'SOLEIL","O'SOLEIL"
"EPICEA","EPICEA"
"VIDELYS","VIDELYS"
"OCEAN SPRA","OCEAN SPRA"
"WONDERFUL","WONDERFUL"
"MOVIES POP","MOVIES POP"
"ALP'NOIX","ALP'NOIX"
"VALNOIX","VALNOIX"
"FLORETTE","FLORETTE"
"CRUDETTES","CRUDETTES"
"CZON","CZON"
"TROP.APERO","TROP.APERO"
"ENSOLEIL'A","ENSOLEIL'A"
"MILLE SUD","MILLE SUD"
"CROC FRAIS","CROC FRAIS"
"FRESH GOUR","FRESH GOUR"
"CREALINE","CREALINE"
"GREENSHOOT","GREENSHOOT"
"FER.ANCHIN","FER.ANCHIN"
"GIRAUDET","GIRAUDET"
"FERM.ANCHI","FERM.ANCHI"
"ULTI","ULTI"
"POUSS'SALA","POUSS'SALA"
"LUNOR","LUNOR"
"ALLAIRE","ALLAIRE"
"ROGER","ROGER"
"PELLETIER","PELLETIER"
"HEUDEBERT","HEUDEBERT"
"BRAISOR","BRAISOR"
"JACQUET","JACQUET"
"KRISPROLL","KRISPROLL"
"KRISPROLLS","KRISPROLLS"
"CRACOTTE","CRACOTTE"
"LU","LU"
"CRAQUELINS","CRAQUELINS"
"MARGELY","MARGELY"
"WASA","WASA"
"HARRY'S","HARRY'S"
"LA BOULANG","LA BOULANG"
"REGENT'S","REGENT'S"
"FOSSIER","FOSSIER"
"PAILLE DOR","PAILLE DOR"
"CEMOI","CEMOI"
"BRUN","BRUN"
"BUHLER","BUHLER"
"SAXO","SAXO"
"DELACRE","DELACRE"
"GAVOTTES","GAVOTTES"
"LES GAVOTT","LES GAVOTT"
"GAVOTTE","GAVOTTE"
"PIDY","PIDY"
"BN","BN"
"BRINK","BRINK"
"PRINCE","PRINCE"
"NUTELLA","NUTELLA"
"LOTUS","LOTUS"
"PEPITO","PEPITO"
"LULU OURSO","LULU OURSO"
"ST.MICHEL","ST.MICHEL"
"A.DELICES","A.DELICES"
"DUPLO","DUPLO"
"GRANOLA","GRANOLA"
"LESTER","LESTER"
"LE MANOIR","LE MANOIR"
"BELVITA","BELVITA"
"ST MICHEL","ST MICHEL"
"KELLOGS","KELLOGS"
"KELLOGGS","KELLOGGS"
"M.VITIES","M.VITIES"
"B.COTENTIN","B.COTENTIN"
"TRAOU MAD","TRAOU MAD"
"ABBAYE","ABBAYE"
"PLEYBEN","PLEYBEN"
"LE GLAZIK","LE GLAZIK"
"M.POULARD","M.POULARD"
"ST AUBERT","ST AUBERT"
"B.ABBAYE","B.ABBAYE"
"LOTUS B","LOTUS B"
"WALKERS","WALKERS"
"BASTOGNE","BASTOGNE"
"MC VITIES","MC VITIES"
"PTS AMOUR.","PTS AMOUR."
"ARMOR","ARMOR"
"TERRE ITAL","TERRE ITAL"
"G ET CIE","G ET CIE"
"GRANY","GRANY"
"KAMBLY","KAMBLY"
"PT ECOLIER","PT ECOLIER"
"NAPOLITAIN","NAPOLITAIN"
"MIKADO","MIKADO"
"M&MS","M&MS"
"CADBURY","CADBURY"
"COQUELINE","COQUELINE"
"MUL BIANCO","MUL BIANCO"
"BAHLSEN","BAHLSEN"
