"","X7","POMME TERRE SURGELEE","SR",""
"","X7","PIZZAS","ST",""
"","X7","FRUITS MER SURGELES","SU",""
"","X7","","SV",""
"","X7","FRUITS SURGELES","SW",""
"","X7","CHANTILLY SURGELEE","SZ",""
"","X8","1 LITRE","XA",""
"","X8","2 LITRES","XB",""
"","X8","5 LITRES","XE",""
"","X8","1/2 LITRE","XG",""
"","X8","PIMLICOS","XK",""
"","X8","CONES","XL",""
"","X8","FRUTTI","XT",""
"","X8","MIKOSTAR","XU",""
"","X9","GRATINS","AA",""
"","X9","PLATS CUISINES","AB",""
"","X9","TARTES + GALETTES","AC",""
"","X9","POISSONS CUISINES","AD",""
"","X9","COQUILLES","AE",""
"","X9","PATES+FRUITS CONGELE","AF",""
"","X9","CREPES+FEUILLETES","AG",""
"","X9","QUICHE + TOURTE","AH",""
"","X9","PIZZAS","OO",""
