Gencod (EAN);IFLS;Désignation;Regle;Code. Fourn.;Fournisseur
3273625812359;S25698;300G BLANQUETTE PORC/RIZ LONG GRAIN;Cde 60 Kg grop;00097087;COOPERL   
3181238928506;S76430;300G BOEUF CHILI CON CARNE         ;Cde 15 col grop;00002053;CHARAL    
8420056010105;S12048;500G TORTILLA CHORIZO              ;Cde 300 kg grp;00097080;EURO DELIC
8420056021057;S12047;500G TORTILLA LARDON               ;Cde 300 kg grp;00097080;EURO DELIC
8420056031209;S12046;500G TORTILLA NATURE               ;Cde 300 kg grp;00097080;EURO DELIC
8420056041017;S12045;500G TORTILLA OIGNON               ;Cde 300 kg grp;00097080;EURO DELIC
5400101001602;774796;500G TORTILLA PDT/OIGNONS CRF      ;;00088642;LOGIDIS FR
3277820601985;T85322;60G CHIPS DE CREVETTES CRF EXOTIQUE;;00089250;LECHEF BRE
3366760017960;742846;100ML SAUCE NUOC MAM               ;;00029741;AGIS      
3760094441420;S93658;14GX10 CREVETTE PANEES & SCE       ;;00089250;LECHEF BRE
3277820602456;S72329;20G ACCRAS DE MORUE                ;;00089250;LECHEF BRE
3067163608983;S72331;20GX50 SAUCE NUOC-MAM              ;;00089250;LECHEF BRE
3760094441413;S93612;20GX6 MINI LOEMPIAS POULET&SCE     ;;00089250;LECHEF BRE
3277820602067;S72330;30GX30 BEIGNETS DE CEVETTE         ;;00089250;LECHEF BRE
3760094441406;S93584;30GX6 NEM CREVETTE & SCE           ;;00089250;LECHEF BRE
3760094443165;S93583;30GX8 NEM PORC & SAUCE             ;;00089250;LECHEF BRE
3067163608976;S72328;40GX10 SAMOUSSAS LEGUMES           ;;00089250;LECHEF BRE
3760094443295;S72327;40GX10 SAMOUSSAS POULET            ;;00089250;LECHEF BRE
3760094443202;S93643;40GX4 SAMOUSSA BOEUF               ;;00089250;LECHEF BRE
3760094443219;S93649;40GX4 SAMOUSSAS POULET             ;;00089250;LECHEF BRE
3277820601404;S47430;6X30G BEIGNET DE CREVETTE          ;;00089250;LECHEF BRE
3067163608969;S72326;70GX10 SAMOUSSAS BOEUF             ;;00089250;LECHEF BRE
3067164551189;S72324;70GX12 NEMS AUX LEGUMES            ;;00089250;LECHEF BRE
3067163608914;S72325;70GX12 NEMS DE CREVETTE            ;;00089250;LECHEF BRE
3067163608945;S72321;70GX12 NEMS DE PORC                ;;00089250;LECHEF BRE
3067163608938;S72323;70GX12 NEMS DE POULET              ;;00089250;LECHEF BRE
3760094441437;S93650;20GX9 ACCRAS MORUE                 ;;00089250;LECHEF BRE
3181238928469;S74819;300G BOEUF BOLOGNAISE/FUSILLI      ;Cde 15 col grop;00002053;CHARAL    
3181238928483;S76429;300G FACON BOURGUIGNON/FUSILLI     ;Cde 15 col grop;00002053;CHARAL    
3273625812366;S25697;300G FILET MIGNON PORC SCE MOUT/RIZ;Cde 60 Kg grop;00097087;COOPERL   
3560070949656;586788;400G PAELLA CARREFOUR              ;;00088642;LOGIDIS FR
3560070861552;055998;900G CHOUCROUTE CARREFOUR          ;;00088642;LOGIDIS FR
3292070006151;632060;X6  ACCRAS DE MORUE A. BLINI       ;;00088642;LOGIDIS FR
3273220086032;704247;2X100G STEACK SOJA FINE HERBE      ;Cde 100 Kg grp;00009292;TRIBALLAT 
3273228086058;S01133;2X100G STEACK SOJA INDIENNE        ;Cde 100 Kg grp;00009292;TRIBALLAT 
3273220086056;704248;2X100G STEACK SOJA INDIENNE        ;;00088642;LOGIDIS FR
3273228086102;S01137;2X100G STEACK SOJA PROVENCAL       ;Cde 100 Kg grp;00009292;TRIBALLAT 
3273220086100;704251;2X100G STEACK SOJA PROVENCAL       ;;00088642;LOGIDIS FR
3273228086089;S01130;2X100G STEACK SOJA PT LEGUMES      ;Cde 100 Kg grp;00009292;TRIBALLAT 
3273220086087;704250;2X100G STEACK SOJA PT LEGUMES      ;;00088642;LOGIDIS FR
3273228086072;S01138;2X100G STEACK SOJA TOMAT/BASIL     ;Cde 100 Kg grp;00009292;TRIBALLAT 
8007303004997;S61412;300G SPAGHETTI                     ;Cde 20 col grop;00097017;AMBROSI   
8007303209118;S82616;500G SPAGHETTI                     ;Cde 20 col grop;00097017;AMBROSI   
8007303013562;S66970;250G TAGLIATELLE SANS GLUTEN       ;Cde 20 col grop;00097017;AMBROSI   
3560071076283;S94522;250G TAGLIATELLE SS GLUTEN CRF     ;;00097017;AMBROSI   
8007303009022;S61415;300G TAGLIATELLE                   ;Cde 20 col grop;00097017;AMBROSI   
3240931540665;S74764;355G TAGLIATELLE                   ;;00038069;LUSTUCRU  
8007303205028;S62560;500G TAGLIATELLE                   ;Cde 20 col grop;00097017;AMBROSI   
8003427001522;S54899;500G TAGLIATELLE AUX OEUFS         ;;00099093;BERNI     
3240930514025;S74719;380G GNOCCHI LUSTUCRU              ;;00038069;LUSTUCRU  
3560070848447;761087;380G GNOCCHI NATURE CRF            ;;00088642;LOGIDIS FR
3560070848478;760686;380G GNOCCHI NATURE GRAND JURY     ;;00088642;LOGIDIS FR
3560071076344;S94525;400G GNOCCHI SANS GLUTEN CRF       ;Cde 20 col grop;00097017;AMBROSI   
8007303009008;S62561;500G GNOCCHI POMME DE TERRE        ;Cde 20 col grop;00097017;AMBROSI   
8003427012221;S54895;500G GNOCCHI POMME DE TERRE        ;;00099093;BERNI     
8007303005406;S62562;250G CAPPELETTI JAMBON CRU         ;Cde 20 col grop;00097017;AMBROSI   
8007303009015;648828;300G LINGUINE ANTICA               ;Cde 20 col grop;00097017;AMBROSI   
8007303005031;806699;300G PAPARDELLE ANTICA             ;Cde 20 col grop;00097017;AMBROSI   
