"AVENI","AVENI","1","ASP","","0.0","","1","LOG","AVENIR SERVICE SARL"
"10471","10471","1","IMPORT","","0.0","","1","LOG","FRUIVAL"
"10608","10608","1","IMPORT","","0.0","","1","LOG","CADBURY FRANCE"
"10766","10766","1","IMPORT","","0.0","","1","LOG","CEDO SA"
"10785","10785","1","IMPORT","","0.0","","1","LOG","HERMES EDULCORAN"
"10958","10958","1","IMPORT","","0.0","","1","LOG","PAILLARD TRIPES"
"10971","10971","1","IMPORT","","0.0","","1","LOG","ZAHOR FRANCE EXELLA SA CONFIS"
"10978","10978","1","IMPORT","","0.0","","1","LOG","KLAUS CHOCOLAT"
"11011","11011","1","IMPORT","","0.0","","1","LOG","SODIEM SARL"
"11061","11061","1","IMPORT","","0.0","","1","LOG","KORTMAN"
"11124","11124","1","IMPORT","","0.0","","1","LOG","DELECHENEAU JACKIE"
"11254","11254","1","IMPORT","","0.0","","1","LOG","POCO LOCO FRANCE SARL"
"11281","11281","1","IMPORT","","0.0","","1","LOG","PECH DE CLARY"
"11282","11282","1","IMPORT","","0.0","","1","LOG","GUETARA ""CACI"""
"11378","11378","1","IMPORT","","0.0","","1","LOG","BABY DELICE"
"11469","11469","1","IMPORT","","0.0","","1","LOG","PRADE PRODUCTION"
"11691","11691","1","IMPORT","","0.0","","1","LOG","PIGINO"
"11764","11764","1","IMPORT","","0.0","","1","LOG","ISABEL FRANCE"
"11913","11913","1","IMPORT","","0.0","","1","LOG","ELSE EX BUHLER FONTAINE"
"11954","11954","1","IMPORT","","0.0","","1","LOG","SOCORIZ SA"
"12095","12095","1","IMPORT","","0.0","","1","LOG","MAC ANI SA"
"12193","12193","1","IMPORT","","0.0","","1","LOG","ELYSEE COSMETIQUES"
"12214","12214","1","IMPORT","","0.0","","1","LOG","DELIFRUITS"
"12321","12321","1","IMPORT","","0.0","","1","LOG","VRANKEN POMMERY"
"12330","12330","1","IMPORT","","0.0","","1","LOG","PAUWELS SA"
"12348","12348","1","IMPORT","","0.0","","1","LOG","COVI PCA"
"12387","12387","1","IMPORT","","0.0","","1","LOG","KRUGER GMBH&CO KG"
"12416","12416","1","IMPORT","","0.0","","1","LOG","BONIQUET LABORATORIO SA"
"12419","12419","1","IMPORT","","0.0","","1","LOG","DIS. PAR SARL"
"12458","12458","1","IMPORT","","0.0","","1","LOG","IGIENICA STE NELLE"
"12508","12508","1","IMPORT","","0.0","","1","LOG","BIOFOURNIL"
"12530","12530","1","IMPORT","","0.0","","1","LOG","BONFILS DOMAINES SARL"
"12536","12536","1","IMPORT","","0.0","","1","LOG","FRIESLAND DAIRY FOOD"
"12553","12553","1","IMPORT","","0.0","","1","LOG","PRODUIT CIGOGNE(C/O CARPIQUET)"
"12593","12593","1","IMPORT","","0.0","","1","LOG","CEREALS GROUP"
"12681","12681","1","IMPORT","","0.0","","1","LOG","CHAGNOT GUY APICULTEUR S"
"12838","12838","1","IMPORT","","0.0","","1","LOG","ANDRESY"
"12911","12911","1","IMPORT","","0.0","","1","LOG","GUYAUX"
"12989","12989","1","IMPORT","","0.0","","1","LOG","SOCIETA ALIMENTARI CARMAGNOLES"
"13002","13002","1","IMPORT","","0.0","","1","LOG","MIELIFOS"
"13004","13004","1","IMPORT","","0.0","","1","LOG","PEETERS FRANCE"
"13040","13040","1","IMPORT","","0.0","","1","LOG","SCA HYGIENE DIVISION FLUF"
"13046","13046","1","IMPORT","","0.0","","1","LOG","ISCAR SUGAR B. V."
"13102","13102","1","IMPORT","","0.0","","1","LOG","FUSHIMA S.L."
"13148","13148","1","IMPORT","","0.0","","1","LOG","JACQUET PAINS"
"13327","13327","1","IMPORT","","0.0","","1","LOG","DESTAVEL SA"
"13333","13333","1","IMPORT","","0.0","","1","LOG","SABAROT WASSNER"
"13354","13354","1","IMPORT","","0.0","","1","LOG","CHAMPENOISE DES GRANDS V"
"13508","13508","1","IMPORT","","0.0","","1","LOG","MARCA CEYS INTERNATIONAL SL"
"13554","13554","1","IMPORT","","0.0","","1","LOG","SEVENDAY"
"13561","13561","1","IMPORT","","0.0","","1","LOG","PROD'HYGIA"
"13562","13562","1","IMPORT","","0.0","","1","LOG","EMIG SAS"
"13590","13590","1","IMPORT","","0.0","","1","LOG","CANTREAU"
"13593","13593","1","IMPORT","","0.0","","1","LOG","CAGEC SA CIE APICOLE"
"13595","13595","1","IMPORT","","0.0","","1","LOG","PREMIER BRAND'S FRANCE"
"13642","13642","1","IMPORT","","0.0","","1","LOG","DIPA SAS"
"13843","13843","1","IMPORT","","0.0","","1","LOG","METTLER PAPIER"
"13958","13958","1","IMPORT","","0.0","","1","LOG","BRABO FRANCE"
"13977","13977","1","IMPORT","","0.0","","1","LOG","CACOLAC"
"14028","14028","1","IMPORT","","0.0","","1","LOG","EUROPE COSMETIQUE"
"14068","14068","1","IMPORT","","0.0","","1","LOG","BONTOUT"
"14172","14172","1","IMPORT","","0.0","","1","LOG","PET FOOD PLUS"
"14280","14280","1","IMPORT","","0.0","","1","LOG","PHILIPS ECLAIRAGE"
"14303","14303","1","IMPORT","","0.0","","1","LOG","VAL DE VIRE CIDRERIE"
"14324","14324","1","IMPORT","","0.0","","1","LOG","TOUCAN VIGNES DU MONDE SARL"
"14387","14387","1","IMPORT","","0.0","","1","LOG","OLVAC DISTRIBUTION"
"14420","14420","1","IMPORT","","0.0","","1","LOG","SANODA JEYES"
"14454","14454","1","IMPORT","","0.0","","1","LOG","KAPA REYNOLDS SA"
"14475","14475","1","IMPORT","","0.0","","1","LOG","PASQUIER GIE"
"14489","14489","1","IMPORT","","0.0","","1","LOG","PAUL CHACUN PECHEUR DE F"
"14505","14505","1","IMPORT","","0.0","","1","LOG","OSPELT HERBERT DIVISION"
"14508","14508","1","IMPORT","","0.0","","1","LOG","OSPELT HERBERT"
"14864","14864","1","IMPORT","","0.0","","1","LOG","PATISSERIE GOURMANDE"
