"00281","00281","1","IMPORT","","0.0","","2","SOF","CHAVIL.F.GOURN. 0763"
"00282","00282","1","IMPORT","","0.0","","2","SOF","BN MIN.500PT/1500PT/"
"00283","00283","1","IMPORT","","0.0","","2","SOF","LAMY LUTTY   48088"
"00284","00284","1","IMPORT","","0.0","","2","SOF","MONSANTO SNC 10118"
"00285","00285","1","IMPORT","","0.0","","2","SOF","BN ( FRANCE ) UNITED BISCUITS"
"00290","00290","1","IMPORT","","0.0","","2","SOF","TILLY/DECOUPES ....."
"00300","00300","1","IMPORT","","0.0","","2","SOF","MFI - CEIPA"
"00306","00306","1","ASP","","0.0","","2","SOF","SODIVIC"
"00311","00311","1","ASP","","0.0","","2","SOF","LESIEUR ANT.C/O DUCR"
"00313","00313","1","IMPORT","","0.0","","2","SOF","UNITED DAIRYMEN (LM)"
"00317","00317","1","ASP","","0.0","","2","SOF","NESTLE - COLLECTIVIT"
"00318","00318","1","IMPORT","","0.0","","2","SOF","SOFRIMA - R.H.F"
"00320","00320","1","ASP","","0.0","","2","SOF","S.N.E.M.B.G.."
"00350","00350","1","IMPORT","","0.0","","2","SOF","FRIESLAND DAIRY - 12"
"00364","00364","1","IMPORT","","0.0","","2","SOF","CHEVALIERS ARGOUGE"
"00380","00380","1","IMPORT","","0.0","","2","SOF","D'AUCY L.SURGELES/DU"
"00390","00390","1","ASP","","0.0","","2","SOF","DORMOY ETS G&P"
"00392","00392","1","ASP","","0.0","","2","SOF","RHUM NEISSON"
"00400","00400","1","IMPORT","","0.0","","2","SOF","LEGUME SEC-SOUFFLET-"
"00402","00402","1","IMPORT","","0.0","","2","SOF","POMPANO EXPORT.INC"
"00410","00410","1","ASP","","0.0","","2","SOF","TROIS RIVIERES"
"00412","00412","1","IMPORT","","0.0","","2","SOF","STIXI  - 02092"
"00422","00422","1","IMPORT","","0.0","","2","SOF","P.PECHEUR EXSEADEAL"
"00441","00441","1","IMPORT","","0.0","","2","SOF","LOGIDIS CARPIQUET 71"
"00444","00444","1","IMPORT","","0.0","","2","SOF","SCAGEX.............."
"00445","00445","1","IMPORT","","0.0","","2","SOF","BROSSERIE D P H PROS"
"00446","00446","1","IMPORT","","0.0","","2","SOF","SCAGEX SEC"
"00500","00500","1","IMPORT","","0.0","","2","SOF","VANDAME -PIE QUI CHA"
"00502","00502","1","IMPORT","","0.0","","2","SOF","LU - MARQUE PROPE"
"00512","00512","1","IMPORT","","0.0","","2","SOF","AMORA M-P/1ER P-"
"00515","00515","1","IMPORT","","0.0","","2","SOF","C.I.N.R.J.    10051"
"00540","00540","1","ASP","","0.0","","2","SOF","CAPES DOLE"
"00543","00543","1","IMPORT","","0.0","","2","SOF","VARTA"
"00548","00548","1","IMPORT","","0.0","","2","SOF","KRONEMB.M.P.-1ER PX"
"00550","00550","1","ASP","","0.0","","2","SOF","DANONE BISCUITERIE"
"00551","00551","1","ASP","","0.0","","2","SOF","S O M A H Y P E R"
"00552","00552","1","IMPORT","","0.0","","2","SOF","AUZIER-CHABERNAC  41"
"00560","00560","1","IMPORT","","0.0","","2","SOF","MAILLE S.A."
"00561","00561","1","IMPORT","","0.0","","2","SOF","MARQUE PROPRE CHEZ S"
"00578","00578","1","IMPORT","","0.0","","2","SOF","JUS DE FRUITS CARAIB"
"00585","00585","1","IMPORT","","0.0","","2","SOF","VITHERM  SODICHLOR-3"
"00592","00592","1","IMPORT","","0.0","","2","SOF","REGILAIT"
"00600","00600","1","IMPORT","","0.0","","2","SOF","MOLNLYCKE ( NANA-UP&"
"00602","00602","1","IMPORT","","0.0","","2","SOF","MAC'ANI S.A."
"00605","00605","1","IMPORT","","0.0","","2","SOF","KIMBERLY-CLARK(COUCH"
"00650","00650","1","IMPORT","","0.0","","2","SOF","CALIXTE / GAUL"
"00666","00666","1","ASP","","0.0","","2","SOF","RHUM DILLON"
"00671","00671","1","IMPORT","","0.0","","2","SOF","HARMS - GROS SEL -"
"00699","00699","1","IMPORT","","0.0","","2","SOF","VINS ESPAGNE 97142"
"00711","00711","1","IMPORT","","0.0","","2","SOF","SOGEDIAL LE HAVRE..."
"00712","00712","1","IMPORT","","0.0","","2","SOF","S.A.F.R............."
"00713","00713","1","IMPORT","","0.0","","2","SOF","BONGRAIN............"
"00714","00714","1","IMPORT","","0.0","","2","SOF","BRIDEL.............."
"00715","00715","1","IMPORT","","0.0","","2","SOF","ENTREMONT..........."
"00717","00717","1","IMPORT","","0.0","","2","SOF","CABY................"
"00718","00718","1","IMPORT","","0.0","","2","SOF","STALAVEN............"
"00719","00719","1","IMPORT","","0.0","","2","SOF","BERNI..............."
"00720","00720","1","IMPORT","","0.0","","2","SOF","EUROPAL............."
"00721","00721","1","IMPORT","","0.0","","2","SOF","LAITA..............."
"00722","00722","1","IMPORT","","0.0","","2","SOF","AOSTE..............."
"00723","00723","1","IMPORT","","0.0","","2","SOF","SCAM................"
"00724","00724","1","IMPORT","","0.0","","2","SOF","STE CAVE REUNI......"
